,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ortschaft
2009-10-29,10,36,52,Schöneberg
2009-10-30,17,40,66,Schöneberg
2009-10-31,10,36,52,Schöneberg
2009-11-01,5,24,32,Schöneberg
2009-11-02,16,36,60,Schöneberg
2009-11-03,11,33,50,Schöneberg
2009-11-04,22,35,68,Schöneberg
2009-11-05,12,38,56,Schöneberg
2009-11-06,14,36,58,Schöneberg
2009-11-07,15,33,56,Schöneberg
2009-11-08,11,27,43,Schöneberg
2009-11-09,17,27,52,Schöneberg
2009-11-10,21,27,60,Schöneberg
2009-11-11,51,36,114,Schöneberg
2009-11-12,22,39,73,Schöneberg
2009-11-13,22,37,71,Schöneberg
2009-11-14,16,34,58,Schöneberg
2009-11-15,6,30,39,Schöneberg
2009-11-16,38,41,100,Schöneberg
2009-11-17,34,44,95,Schöneberg
2009-11-18,4,23,29,Schöneberg
2009-11-19,4,30,37,Schöneberg
2009-11-20,27,47,88,Schöneberg
2009-11-21,24,42,78,Schöneberg
2009-11-22,10,32,47,Schöneberg
2009-11-23,3,22,27,Schöneberg
2009-11-24,3,24,28,Schöneberg
2009-11-25,3,29,34,Schöneberg
2009-11-26,3,27,31,Schöneberg
2009-11-27,3,26,31,Schöneberg
2009-11-28,2,20,23,Schöneberg
2009-11-29,4,29,34,Schöneberg
2009-11-30,25,41,79,Schöneberg
2009-12-01,6,32,42,Schöneberg
2009-12-02,22,40,73,Schöneberg
2009-12-03,23,40,75,Schöneberg
2009-12-04,20,35,66,Schöneberg
2009-12-05,10,35,50,Schöneberg
2009-12-06,9,32,47,Schöneberg
2009-12-07,39,46,105,Schöneberg
2009-12-08,25,35,74,Schöneberg
2009-12-09,28,31,74,Schöneberg
2009-12-10,22,43,77,Schöneberg
2009-12-11,11,35,52,Schöneberg
2009-12-12,15,36,58,Schöneberg
2009-12-13,3,31,35,Schöneberg
2009-12-14,16,38,63,Schöneberg
2009-12-15,16,44,69,Schöneberg
2009-12-16,10,45,60,Schöneberg
2009-12-17,7,38,48,Schöneberg
2009-12-18,8,30,42,Schöneberg
2009-12-19,13,42,62,Schöneberg
2009-12-20,9,39,52,Schöneberg
2009-12-21,12,53,70,Schöneberg
2009-12-22,15,50,73,Schöneberg
2009-12-23,26,51,91,Schöneberg
2009-12-24,4,26,33,Schöneberg
2009-12-25,6,23,32,Schöneberg
2009-12-26,1,14,16,Schöneberg
2009-12-27,5,34,41,Schöneberg
2009-12-28,2,28,32,Schöneberg
2009-12-29,5,29,36,Schöneberg
2009-12-30,11,36,53,Schöneberg
2009-12-31,2,28,31,Schöneberg
2010-01-01,3,24,29,Schöneberg
2010-01-02,3,22,26,Schöneberg
2010-01-03,9,30,43,Schöneberg
2010-01-04,7,28,38,Schöneberg
2010-01-05,16,45,69,Schöneberg
2010-01-06,38,61,119,Schöneberg
2010-01-07,13,51,71,Schöneberg
2010-01-08,44,53,121,Schöneberg
2010-01-09,3,23,28,Schöneberg
2010-01-10,4,21,27,Schöneberg
2010-01-11,10,40,54,Schöneberg
2010-01-12,16,42,66,Schöneberg
2010-01-13,8,30,42,Schöneberg
2010-01-14,9,42,56,Schöneberg
2010-01-15,14,44,64,Schöneberg
2010-01-16,5,36,45,Schöneberg
2010-01-17,5,37,45,Schöneberg
2010-01-18,14,41,63,Schöneberg
2010-01-19,38,44,102,Schöneberg
2010-01-20,10,39,55,Schöneberg
2010-01-21,7,45,55,Schöneberg
2010-01-22,9,49,62,Schöneberg
2010-01-23,6,43,53,Schöneberg
2010-01-24,4,41,46,Schöneberg
2010-01-25,9,56,69,Schöneberg
2010-01-26,31,78,124,Schöneberg
2010-01-27,34,74,125,Schöneberg
2010-01-28,3,27,31,Schöneberg
2010-01-29,5,32,40,Schöneberg
2010-01-30,2,17,20,Schöneberg
2010-01-31,3,29,35,Schöneberg
2010-02-01,7,42,53,Schöneberg
2010-02-02,4,28,34,Schöneberg
2010-02-03,3,22,27,Schöneberg
2010-02-04,20,59,89,Schöneberg
2010-02-05,6,45,55,Schöneberg
2010-02-06,4,39,45,Schöneberg
2010-02-07,4,29,35,Schöneberg
2010-02-08,7,37,47,Schöneberg
2010-02-09,5,42,49,Schöneberg
2010-02-10,6,47,56,Schöneberg
2010-02-11,3,36,40,Schöneberg
2010-02-12,4,30,35,Schöneberg
2010-02-13,3,22,26,Schöneberg
2010-02-14,2,23,26,Schöneberg
2010-02-15,14,53,74,Schöneberg
2010-02-16,9,47,60,Schöneberg
2010-02-17,8,51,63,Schöneberg
2010-02-18,11,70,87,Schöneberg
2010-02-19,31,65,113,Schöneberg
2010-02-20,2,27,31,Schöneberg
2010-02-21,5,32,39,Schöneberg
2010-02-22,7,42,53,Schöneberg
2010-02-23,4,34,40,Schöneberg
2010-02-24,6,38,47,Schöneberg
2010-02-25,17,48,74,Schöneberg
2010-02-26,12,48,65,Schöneberg
2010-02-27,3,24,28,Schöneberg
2010-02-28,2,24,28,Schöneberg
2010-03-01,2,13,16,Schöneberg
2010-03-02,2,19,21,Schöneberg
2010-03-03,5,30,37,Schöneberg
2010-03-04,6,35,45,Schöneberg
2010-03-05,3,29,34,Schöneberg
2010-03-06,3,25,29,Schöneberg
2010-03-07,2,21,24,Schöneberg
2010-03-08,4,33,39,Schöneberg
2010-03-09,17,63,88,Schöneberg
2010-03-10,21,56,89,Schöneberg
2010-03-11,6,37,46,Schöneberg
2010-03-12,7,33,43,Schöneberg
2010-03-13,1,14,16,Schöneberg
2010-03-14,1,14,16,Schöneberg
2010-03-15,3,27,31,Schöneberg
2010-03-16,2,24,27,Schöneberg
2010-03-17,7,40,50,Schöneberg
2010-03-18,5,47,55,Schöneberg
2010-03-19,7,44,54,Schöneberg
2010-03-20,3,27,32,Schöneberg
2010-03-21,1,15,17,Schöneberg
2010-03-22,6,33,42,Schöneberg
2010-03-23,4,40,46,Schöneberg
2010-03-24,21,52,85,Schöneberg
2010-03-25,17,57,84,Schöneberg
2010-03-26,10,45,60,Schöneberg
2010-03-27,2,15,19,Schöneberg
2010-03-28,2,16,18,Schöneberg
2010-03-29,8,40,53,Schöneberg
2010-03-30,7,33,43,Schöneberg
2010-03-31,2,26,29,Schöneberg
2010-04-01,3,21,26,Schöneberg
2010-04-02,2,28,30,Schöneberg
2010-04-03,2,28,31,Schöneberg
2010-04-04,2,17,19,Schöneberg
2010-04-05,3,22,27,Schöneberg
2010-04-06,18,51,79,Schöneberg
2010-04-07,4,30,36,Schöneberg
2010-04-08,5,29,37,Schöneberg
2010-04-09,2,23,25,Schöneberg
2010-04-10,1,16,17,Schöneberg
2010-04-11,1,14,15,Schöneberg
2010-04-12,3,24,28,Schöneberg
2010-04-13,3,25,29,Schöneberg
2010-04-14,3,23,27,Schöneberg
2010-04-15,3,30,34,Schöneberg
2010-04-16,2,31,33,Schöneberg
2010-04-17,2,24,26,Schöneberg
2010-04-18,17,49,75,Schöneberg
2010-04-19,11,24,40,Schöneberg
2010-04-20,5,29,36,Schöneberg
2010-04-21,2,13,16,Schöneberg
2010-04-22,3,22,26,Schöneberg
2010-04-23,10,42,57,Schöneberg
2010-04-24,16,46,70,Schöneberg
2010-04-25,1,17,18,Schöneberg
2010-04-26,3,26,30,Schöneberg
2010-04-27,3,19,24,Schöneberg
2010-04-28,6,36,45,Schöneberg
2010-04-29,5,49,56,Schöneberg
2010-04-30,1,28,30,Schöneberg
2010-05-01,2,14,17,Schöneberg
2010-05-02,1,16,17,Schöneberg
2010-05-03,3,27,31,Schöneberg
2010-05-04,2,29,32,Schöneberg
2010-05-05,3,20,24,Schöneberg
2010-05-06,2,22,26,Schöneberg
2010-05-07,11,30,46,Schöneberg
2010-05-08,5,24,32,Schöneberg
2010-05-09,10,33,48,Schöneberg
2010-05-10,3,26,31,Schöneberg
2010-05-11,3,31,35,Schöneberg
2010-05-12,4,29,34,Schöneberg
2010-05-13,1,21,22,Schöneberg
2010-05-14,1,21,22,Schöneberg
2010-05-15,1,16,17,Schöneberg
2010-05-16,1,11,12,Schöneberg
2010-05-17,2,22,26,Schöneberg
2010-05-18,3,19,23,Schöneberg
2010-05-19,3,26,30,Schöneberg
2010-05-20,5,23,31,Schöneberg
2010-05-21,6,30,39,Schöneberg
2010-05-22,3,29,34,Schöneberg
2010-05-23,1,10,11,Schöneberg
2010-05-24,1,9,11,Schöneberg
2010-05-25,1,13,14,Schöneberg
2010-05-26,2,21,25,Schöneberg
2010-05-27,2,25,28,Schöneberg
2010-05-28,6,29,38,Schöneberg
2010-05-29,1,24,25,Schöneberg
2010-05-30,1,17,19,Schöneberg
2010-05-31,2,17,20,Schöneberg
2010-06-01,2,21,24,Schöneberg
2010-06-02,3,18,23,Schöneberg
2010-06-03,1,13,15,Schöneberg
2010-06-04,2,18,22,Schöneberg
2010-06-05,10,34,49,Schöneberg
2010-06-06,18,40,68,Schöneberg
2010-06-07,2,14,17,Schöneberg
2010-06-08,2,20,23,Schöneberg
2010-06-09,2,33,36,Schöneberg
2010-06-10,3,36,40,Schöneberg
2010-06-11,1,19,21,Schöneberg
2010-06-12,2,10,13,Schöneberg
2010-06-13,1,11,12,Schöneberg
2010-06-14,2,23,25,Schöneberg
2010-06-15,2,25,29,Schöneberg
2010-06-16,3,16,20,Schöneberg
2010-06-17,2,18,22,Schöneberg
2010-06-18,3,20,24,Schöneberg
2010-06-19,2,6,9,Schöneberg
2010-06-20,0,9,9,Schöneberg
2010-06-21,2,23,25,Schöneberg
2010-06-22,2,17,20,Schöneberg
2010-06-23,2,24,28,Schöneberg
2010-06-24,7,28,39,Schöneberg
2010-06-25,2,27,29,Schöneberg
2010-06-26,1,8,9,Schöneberg
2010-06-27,0,12,12,Schöneberg
2010-06-28,3,21,26,Schöneberg
2010-06-29,1,25,26,Schöneberg
