,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Ortschaft
2009-10-29,15,3,17,22,16,Marienfelde
2009-10-30,18,11,22,39,16,Marienfelde
2009-10-31,26,3,18,23,17,Marienfelde
2009-11-01,46,2,14,16,20,Marienfelde
2009-11-02,27,3,17,20,17,Marienfelde
2009-11-03,34,2,19,23,17,Marienfelde
2009-11-04,30,4,25,31,12,Marienfelde
2009-11-05,10,1,15,17,33,Marienfelde
2009-11-06,15,2,17,20,24,Marienfelde
2009-11-07,30,5,23,32,12,Marienfelde
2009-11-08,49,4,22,29,9,Marienfelde
2009-11-09,19,4,22,28,7,Marienfelde
2009-11-10,13,6,16,26,5,Marienfelde
2009-11-11,15,17,22,48,2,Marienfelde
2009-11-12,25,7,20,31,13,Marienfelde
2009-11-13,18,2,15,16,16,Marienfelde
2009-11-14,19,2,15,18,17,Marienfelde
2009-11-15,17,1,7,8,39,Marienfelde
2009-11-16,19,9,21,34,8,Marienfelde
2009-11-17,15,4,26,32,10,Marienfelde
2009-11-18,11,2,10,13,43,Marienfelde
2009-11-19,14,1,18,19,41,Marienfelde
2009-11-20,21,1,24,27,17,Marienfelde
2009-11-21,34,3,26,31,15,Marienfelde
2009-11-22,36,2,22,25,22,Marienfelde
2009-11-23,10,2,7,10,58,Marienfelde
2009-11-24,10,1,10,12,54,Marienfelde
2009-11-25,12,1,9,11,54,Marienfelde
2009-11-26,10,1,7,9,56,Marienfelde
2009-11-27,8,1,7,9,53,Marienfelde
2009-11-28,9,1,8,9,51,Marienfelde
2009-11-29,10,1,8,10,47,Marienfelde
2009-11-30,26,12,30,49,7,Marienfelde
2009-12-01,13,3,30,34,19,Marienfelde
2009-12-02,16,5,24,31,14,Marienfelde
2009-12-03,24,4,27,33,6,Marienfelde
2009-12-04,40,8,29,41,5,Marienfelde
2009-12-05,23,1,18,20,21,Marienfelde
2009-12-06,16,1,15,16,21,Marienfelde
2009-12-07,16,9,28,42,18,Marienfelde
2009-12-08,30,14,28,49,3,Marienfelde
2009-12-09,36,20,20,51,2,Marienfelde
2009-12-10,16,5,26,34,6,Marienfelde
2009-12-11,33,10,29,43,10,Marienfelde
2009-12-12,32,9,26,40,6,Marienfelde
2009-12-13,22,1,7,8,32,Marienfelde
2009-12-14,25,10,26,41,16,Marienfelde
2009-12-15,24,10,38,54,6,Marienfelde
2009-12-16,27,4,25,32,19,Marienfelde
2009-12-17,34,35,32,84,22,Marienfelde
2009-12-18,28,2,18,22,29,Marienfelde
2009-12-19,44,4,31,37,17,Marienfelde
2009-12-20,57,3,26,30,18,Marienfelde
2009-12-21,20,1,23,24,36,Marienfelde
2009-12-22,25,1,21,22,31,Marienfelde
2009-12-23,18,11,33,51,13,Marienfelde
2009-12-24,31,1,15,17,25,Marienfelde
2009-12-25,21,2,14,17,20,Marienfelde
2009-12-26,10,1,5,6,54,Marienfelde
2009-12-27,13,3,9,14,38,Marienfelde
2009-12-28,12,2,9,12,39,Marienfelde
2009-12-29,15,1,12,13,36,Marienfelde
2009-12-30,43,3,24,28,21,Marienfelde
2009-12-31,21,1,13,14,51,Marienfelde
2010-01-01,35,0,14,14,48,Marienfelde
2010-01-02,11,3,13,17,47,Marienfelde
2010-01-03,15,3,16,22,29,Marienfelde
2010-01-04,20,3,22,27,20,Marienfelde
2010-01-05,28,5,37,44,16,Marienfelde
2010-01-06,107,21,56,89,5,Marienfelde
2010-01-07,46,13,44,63,8,Marienfelde
2010-01-08,44,14,32,53,16,Marienfelde
2010-01-09,25,1,11,13,48,Marienfelde
2010-01-10,21,1,11,14,41,Marienfelde
2010-01-11,24,2,31,35,25,Marienfelde
2010-01-12,58,9,38,52,11,Marienfelde
2010-01-13,55,6,25,34,23,Marienfelde
2010-01-14,58,7,31,42,21,Marienfelde
2010-01-15,87,5,32,40,15,Marienfelde
2010-01-16,68,2,22,24,27,Marienfelde
2010-01-17,52,2,20,23,33,Marienfelde
2010-01-18,36,5,29,36,14,Marienfelde
2010-01-19,33,13,31,51,5,Marienfelde
2010-01-20,71,10,26,41,22,Marienfelde
2010-01-21,50,7,27,37,36,Marienfelde
2010-01-22,65,7,32,43,29,Marienfelde
2010-01-23,85,9,24,37,41,Marienfelde
