,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Benzolµg/m³,Toluolµg/m³,Ortschaft
2009-10-29,19,4,29,35,15,1.1,1.9,Neukölln
2009-10-30,20,7,29,39,17,1.4,2.4,Neukölln
2009-10-31,35,7,29,40,18,1.8,2.3,Neukölln
2009-11-01,54,6,23,32,18,2.1,2.0,Neukölln
2009-11-02,37,13,36,56,8,2.3,2.8,Neukölln
2009-11-03,44,6,30,39,12,2.3,2.4,Neukölln
2009-11-04,37,20,31,62,9,2.7,4.0,Neukölln
2009-11-05,14,7,35,46,17,1.1,2.4,Neukölln
2009-11-06,20,10,36,51,12,1.4,2.5,Neukölln
2009-11-07,36,14,31,51,9,2.2,2.8,Neukölln
2009-11-08,56,8,24,36,7,3.1,3.6,Neukölln
2009-11-09,21,13,23,43,8,2.2,3.7,Neukölln
2009-11-10,18,20,25,55,3,2.1,3.3,Neukölln
2009-11-11,24,37,36,93,2,2.2,5.4,Neukölln
2009-11-12,32,23,42,76,7,1.8,4.6,Neukölln
2009-11-13,24,17,36,62,6,1.4,3.5,Neukölln
2009-11-14,25,12,33,51,6,1.6,3.4,Neukölln
2009-11-15,20,3,28,33,24,1.1,2.5,Neukölln
2009-11-16,27,31,42,89,3,1.8,4.0,Neukölln
2009-11-17,21,26,45,85,4,1.6,5.0,Neukölln
2009-11-18,12,3,21,26,33,0.7,1.6,Neukölln
2009-11-19,16,4,28,33,31,0.8,2.5,Neukölln
2009-11-20,28,14,44,65,9,1.4,3.4,Neukölln
2009-11-21,41,18,41,69,8,1.8,4.1,Neukölln
2009-11-22,41,7,33,44,14,2.0,3.3,Neukölln
2009-11-23,13,2,21,25,45,0.8,1.5,Neukölln
2009-11-24,13,4,29,34,40,0.9,2.5,Neukölln
2009-11-25,16,3,28,32,38,0.8,1.9,Neukölln
2009-11-26,13,3,25,30,42,0.9,1.8,Neukölln
2009-11-27,11,2,25,28,39,0.8,1.7,Neukölln
2009-11-28,9,2,18,22,42,0.8,1.3,Neukölln
2009-11-29,14,2,23,26,37,1.2,1.8,Neukölln
2009-11-30,33,26,41,80,8,2.4,4.4,Neukölln
2009-12-01,15,8,33,45,18,1.6,4.2,Neukölln
2009-12-02,24,20,43,74,9,1.5,2.9,Neukölln
2009-12-03,30,19,37,66,5,2.1,2.7,Neukölln
2009-12-04,44,15,31,55,4,3.1,3.4,Neukölln
2009-12-05,31,9,33,46,12,1.8,2.5,Neukölln
2009-12-06,22,7,29,40,10,1.6,2.6,Neukölln
2009-12-07,28,29,46,91,12,2.1,4.4,Neukölln
2009-12-08,34,12,28,47,5,2.4,3.1,Neukölln
