,date,PM10,NOx,NO_2,NOx,O_3
1,29.10.2009,13,1,10,11,25
2,30.10.2009,16,5,15,23,17
3,31.10.2009,31,2,15,18,23
4,01.11.2009,49,2,17,20,20
5,02.11.2009,34,3,23,27,14
6,03.11.2009,45,1,18,21,21
7,04.11.2009,37,9,20,33,13
8,05.11.2009,12,3,25,29,19
9,06.11.2009,17,4,30,36,12
10,07.11.2009,32,4,22,28,12
11,08.11.2009,51,2,17,21,12
12,09.11.2009,18,3,11,15,13
13,10.11.2009,16,17,22,47,3
14,11.11.2009,17,20,22,53,3
15,12.11.2009,23,15,29,52,5
16,13.11.2009,19,10,30,44,6
17,14.11.2009,21,2,19,22,14
18,15.11.2009,18,1,19,21,30
19,16.11.2009,23,29,34,78,6
20,17.11.2009,18,16,32,56,9
21,18.11.2009,12,1,17,19,37
22,19.11.2009,12,1,19,20,38
23,20.11.2009,22,12,40,58,8
24,21.11.2009,31,5,27,35,15
25,22.11.2009,36,2,25,29,17
26,23.11.2009,11,0,13,14,52
27,24.11.2009,12,0,13,13,52
28,25.11.2009,14,1,19,20,46
29,26.11.2009,10,1,17,18,49
30,27.11.2009,8,1,17,18,46
31,28.11.2009,10,0,12,13,47
32,29.11.2009,14,0,15,15,44
33,30.11.2009,26,13,30,50,10
34,01.12.2009,11,0,8,9,31
35,02.12.2009,19,10,32,48,11
36,03.12.2009,24,4,25,31,8
37,04.12.2009,40,7,28,38,4
38,05.12.2009,28,5,27,33,16
39,06.12.2009,19,1,18,20,16
40,07.12.2009,20,8,27,40,20
41,08.12.2009,28,3,20,25,8
42,09.12.2009,33,17,21,46,2
43,10.12.2009,20,4,25,32,10
44,11.12.2009,30,3,13,18,16
45,12.12.2009,24,2,12,14,13
46,13.12.2009,18,1,5,7,38
47,14.12.2009,22,3,19,23,16
48,15.12.2009,21,3,15,19,11
49,16.12.2009,27,4,21,27,18
50,17.12.2009,28,1,13,14,27
51,18.12.2009,23,1,8,9,39
52,19.12.2009,42,5,19,27,24
53,20.12.2009,54,6,30,39,13
54,21.12.2009,23,6,39,49,17
55,22.12.2009,25,2,28,31,27
56,23.12.2009,20,13,34,54,9
57,24.12.2009,30,1,11,12,30
58,25.12.2009,21,3,16,19,18
59,26.12.2009,10,1,9,10,47
60,27.12.2009,17,2,22,25,27
61,28.12.2009,13,1,14,16,36
62,29.12.2009,14,1,11,12,39
63,30.12.2009,38,1,13,15,32
64,31.12.2009,19,1,4,5,59
65,01.01.2010,30,1,5,6,56
66,02.01.2010,10,0,5,6,52
67,03.01.2010,15,1,7,8,34
68,04.01.2010,16,2,17,19,22
69,05.01.2010,26,11,39,56,8
70,06.01.2010,91,8,35,47,8
71,07.01.2010,47,9,35,49,15
72,08.01.2010,35,3,22,27,26
73,09.01.2010,19,1,5,6,52
74,10.01.2010,17,1,3,4,47
75,11.01.2010,18,2,14,17,36
76,12.01.2010,55,2,20,24,22
77,13.01.2010,43,1,14,16,32
78,14.01.2010,52,1,19,20,31
79,15.01.2010,83,2,24,27,21
80,16.01.2010,69,1,15,17,33
81,17.01.2010,56,2,19,22,31
82,18.01.2010,46,6,23,32,21
83,19.01.2010,48,7,25,36,
84,20.01.2010,67,3,18,21,
85,21.01.2010,44,1,15,17,
86,22.01.2010,53,1,22,24,
87,23.01.2010,73,2,23,25,
88,24.01.2010,75,1,21,23,
89,25.01.2010,77,2,29,32,
90,26.01.2010,98,4,42,49,
91,27.01.2010,88,36,65,120,
92,28.01.2010,12,1,11,12,63
93,29.01.2010,12,2,15,18,55
94,30.01.2010,13,0,9,9,63
95,31.01.2010,21,2,23,25,48
96,01.02.2010,17,3,28,32,39
97,02.02.2010,16,2,18,22,48
98,03.02.2010,10,1,11,12,59
99,04.02.2010,18,5,37,45,22
100,05.02.2010,43,1,20,22,61
101,06.02.2010,50,1,15,17,66
102,07.02.2010,51,1,8,9,61
103,08.02.2010,24,1,14,15,59
104,09.02.2010,54,1,18,19,64
105,10.02.2010,102,1,21,22,67
106,11.02.2010,47,1,10,11,74
107,12.02.2010,13,1,4,5,70
108,13.02.2010,8,1,7,8,61
109,14.02.2010,13,1,10,12,53
110,15.02.2010,22,4,28,33,37
111,16.02.2010,44,3,25,30,43
112,17.02.2010,83,2,22,25,67
113,18.02.2010,87,5,48,55,37
114,19.02.2010,44,8,41,54,19
115,20.02.2010,18,2,14,16,59
116,21.02.2010,17,2,20,23,54
117,22.02.2010,15,4,23,29,50
118,23.02.2010,13,1,14,16,54
119,24.02.2010,23,1,14,15,51
120,25.02.2010,20,5,28,37,33
121,26.02.2010,21,6,34,44,38
122,27.02.2010,12,1,13,15,58
123,28.02.2010,13,1,10,11,65
124,01.03.2010,7,1,8,9,63
125,02.03.2010,13,1,7,8,68
126,03.03.2010,11,1,13,14,59
127,04.03.2010,15,4,16,22,51
128,05.03.2010,11,1,13,14,67
129,06.03.2010,15,0,6,7,68
130,07.03.2010,9,0,4,5,69
131,08.03.2010,16,1,7,8,71
132,09.03.2010,35,6,21,30,50
133,10.03.2010,50,1,18,20,56
134,11.03.2010,58,1,11,12,53
135,12.03.2010,21,2,19,23,38
136,13.03.2010,10,0,3,4,70
137,14.03.2010,7,0,2,2,81
138,15.03.2010,12,1,12,13,67
139,16.03.2010,11,0,8,8,71
140,17.03.2010,22,2,27,30,41
141,18.03.2010,28,2,27,30,57
142,19.03.2010,31,3,32,37,51
143,20.03.2010,20,1,21,23,49
144,21.03.2010,14,0,7,8,60
145,22.03.2010,19,1,15,17,64
146,23.03.2010,20,3,19,23,51
147,24.03.2010,29,4,22,28,48
148,25.03.2010,41,2,23,27,57
149,26.03.2010,39,4,24,31,57
150,27.03.2010,14,0,7,8,70
151,28.03.2010,15,1,9,11,61
152,29.03.2010,14,3,23,27,46
153,30.03.2010,23,2,17,21,42
154,31.03.2010,20,1,14,15,57
155,01.04.2010,11,1,13,14,68
156,02.04.2010,21,2,15,18,59
157,03.04.2010,30,1,13,14,64
158,04.04.2010,19,1,9,10,68
159,05.04.2010,20,0,8,9,64
160,06.04.2010,31,13,24,43,43
161,07.04.2010,23,1,13,15,79
162,08.04.2010,30,2,16,19,76
163,09.04.2010,20,1,9,10,60
164,10.04.2010,10,0,3,3,69
165,11.04.2010,13,0,4,4,65
166,12.04.2010,30,1,7,8,74
167,13.04.2010,27,1,6,8,87
168,14.04.2010,24,1,8,9,79
169,15.04.2010,10,1,5,6,78
170,16.04.2010,18,1,13,14,65
171,17.04.2010,23,1,13,14,70
172,18.04.2010,25,2,16,19,76
173,19.04.2010,24,0,6,6,85
174,20.04.2010,22,3,16,20,65
175,21.04.2010,12,1,6,7,73
176,22.04.2010,12,1,10,10,70
177,23.04.2010,15,2,12,14,65
178,24.04.2010,28,2,14,16,63
179,25.04.2010,26,1,8,8,86
180,26.04.2010,23,1,15,17,78
181,27.04.2010,15,1,6,7,65
182,28.04.2010,17,2,14,17,60
183,29.04.2010,28,3,29,34,73
184,30.04.2010,29,1,15,17,82
185,01.05.2010,19,1,7,9,68
186,02.05.2010,12,0,4,4,64
187,03.05.2010,11,1,5,6,61
188,04.05.2010,9,0,8,8,64
189,05.05.2010,11,1,5,6,67
190,06.05.2010,10,0,4,5,71
191,07.05.2010,11,4,13,19,23
192,08.05.2010,13,8,12,24,27
193,09.05.2010,24,3,10,15,45
194,10.05.2010,17,0,6,7,45
195,11.05.2010,15,1,7,8,59
196,12.05.2010,21,2,15,18,50
197,13.05.2010,16,2,9,11,43
198,14.05.2010,10,0,4,4,56
199,15.05.2010,9,0,6,6,64
200,16.05.2010,15,0,3,4,77
201,17.05.2010,14,1,6,7,78
202,18.05.2010,14,0,5,5,71
203,19.05.2010,19,1,7,8,55
204,20.05.2010,25,1,7,8,46
205,21.05.2010,22,2,10,13,53
206,22.05.2010,23,1,6,8,54
207,23.05.2010,17,0,3,3,67
208,24.05.2010,14,0,4,4,58
209,25.05.2010,15,0,5,5,76
210,26.05.2010,13,1,8,9,61
211,27.05.2010,14,1,4,5,55
212,28.05.2010,19,2,14,17,49
213,29.05.2010,20,1,7,9,63
214,30.05.2010,22,1,9,9,67
215,31.05.2010,,0,5,5,
216,01.06.2010,5,0,3,3,65
217,02.06.2010,15,2,3,6,69
218,03.06.2010,10,1,3,4,84
219,04.06.2010,15,1,6,7,65
220,05.06.2010,21,2,8,11,68
221,06.06.2010,30,1,9,10,89
222,07.06.2010,20,1,8,9,91
223,08.06.2010,17,1,11,13,85
224,09.06.2010,22,2,13,16,81
225,10.06.2010,31,1,10,12,83
226,11.06.2010,26,1,10,12,79
227,12.06.2010,12,1,6,6,62
228,13.06.2010,13,1,4,5,60
229,14.06.2010,13,1,6,8,50
230,15.06.2010,14,2,9,12,54
231,16.06.2010,12,1,5,6,64
232,17.06.2010,13,1,6,8,70
233,18.06.2010,16,1,7,9,67
234,19.06.2010,12,0,4,4,62
235,20.06.2010,12,0,4,5,53
236,21.06.2010,13,0,7,8,49
237,22.06.2010,9,1,5,6,59
238,23.06.2010,14,1,5,7,51
239,24.06.2010,16,3,8,13,59
240,25.06.2010,19,1,6,8,78
241,26.06.2010,13,0,3,3,73
242,27.06.2010,13,1,4,5,61
243,28.06.2010,18,2,8,10,75
244,29.06.2010,25,1,12,14,98
245,30.06.2010,20,1,4,6,96
246,01.07.2010,21,1,7,8,85
247,02.07.2010,26,1,12,14,101
248,03.07.2010,29,1,7,8,103
249,04.07.2010,23,1,6,7,109
250,05.07.2010,19,1,5,7,90
251,06.07.2010,15,1,5,6,62
252,07.07.2010,11,1,7,8,54
253,08.07.2010,20,3,16,20,80
254,09.07.2010,26,1,16,18,104
255,10.07.2010,30,1,11,11,133
256,11.07.2010,25,1,7,8,119
257,12.07.2010,29,1,9,10,105
258,13.07.2010,18,1,7,8,101
259,14.07.2010,26,1,9,10,105
260,15.07.2010,18,1,9,10,96
261,16.07.2010,26,2,15,18,93
262,17.07.2010,20,1,10,11,86
263,18.07.2010,11,1,4,5,69
264,19.07.2010,15,3,12,17,64
265,20.07.2010,18,2,9,12,76
266,21.07.2010,27,1,14,16,84
267,22.07.2010,28,1,11,13,105
268,23.07.2010,13,1,5,6,52
269,24.07.2010,16,1,4,5,62
270,25.07.2010,12,0,4,5,63
271,26.07.2010,14,2,12,16,63
272,27.07.2010,,2,12,14,73
273,28.07.2010,19,1,10,11,65
274,29.07.2010,11,1,5,6,57
275,30.07.2010,11,1,9,10,47
276,31.07.2010,19,4,15,20,57
277,01.08.2010,20,1,12,13,83
278,02.08.2010,21,1,10,11,66
279,03.08.2010,14,1,8,9,36
280,04.08.2010,17,2,15,19,48
281,05.08.2010,21,1,14,16,67
282,06.08.2010,24,1,7,7,67
283,07.08.2010,16,0,5,6,56
284,08.08.2010,17,1,9,10,54
285,09.08.2010,20,2,12,15,51
286,10.08.2010,18,2,15,17,55
287,11.08.2010,24,2,21,24,58
288,12.08.2010,23,2,16,19,55
289,13.08.2010,16,0,8,9,53
290,14.08.2010,15,0,6,6,48
291,15.08.2010,22,0,7,7,48
292,16.08.2010,13,1,13,14,53
293,17.08.2010,11,2,14,17,35
294,18.08.2010,8,1,12,13,48
295,19.08.2010,13,0,9,10,53
296,20.08.2010,19,5,17,25,49
297,21.08.2010,24,1,14,16,78
298,22.08.2010,25,1,11,13,58
299,23.08.2010,16,2,18,21,42
300,24.08.2010,13,1,9,10,64
301,25.08.2010,14,1,8,9,58
302,26.08.2010,18,5,25,34,20
303,27.08.2010,10,1,9,11,35
304,28.08.2010,11,0,4,5,51
305,29.08.2010,10,1,8,9,41
306,30.08.2010,7,1,8,10,46
307,31.08.2010,7,0,3,3,54
308,01.09.2010,8,1,7,8,36
309,02.09.2010,9,1,8,9,29
310,03.09.2010,10,5,7,15,30
311,04.09.2010,13,2,7,10,32
312,05.09.2010,9,0,4,5,45
313,06.09.2010,9,1,7,9,42
314,07.09.2010,11,1,7,8,43
315,08.09.2010,19,1,8,9,60
316,09.09.2010,19,2,17,20,29
317,10.09.2010,18,3,15,20,28
318,11.09.2010,22,10,14,29,30
319,12.09.2010,23,1,11,12,46
320,13.09.2010,13,1,9,10,35
321,14.09.2010,11,2,22,24,18
322,15.09.2010,13,0,12,13,52
323,16.09.2010,11,1,11,12,58
324,17.09.2010,10,1,11,13,47
325,18.09.2010,11,0,6,7,51
326,19.09.2010,12,1,10,11,46
327,20.09.2010,17,2,24,27,39
328,21.09.2010,17,1,9,11,38
329,22.09.2010,16,7,12,21,36
330,23.09.2010,29,2,20,24,48
331,24.09.2010,33,2,20,23,50
332,25.09.2010,23,1,11,12,27
333,26.09.2010,7,0,7,8,25
334,27.09.2010,20,1,7,8,38
335,28.09.2010,10,0,3,3,44
336,29.09.2010,13,1,3,4,45
337,30.09.2010,13,5,8,16,22
338,01.10.2010,23,11,11,28,23
339,02.10.2010,30,2,12,15,34
340,03.10.2010,33,1,10,12,44
341,04.10.2010,28,1,13,15,51
342,05.10.2010,29,1,16,18,33
343,06.10.2010,25,2,19,22,23
344,07.10.2010,40,3,20,24,24
345,08.10.2010,43,1,13,15,40
346,09.10.2010,43,1,13,15,43
347,10.10.2010,30,1,8,9,44
348,11.10.2010,25,3,12,16,23
349,12.10.2010,,4,21,27,
350,13.10.2010,20,11,17,34,22
351,14.10.2010,23,19,21,50,23
352,15.10.2010,11,5,16,24,25
353,16.10.2010,13,2,10,12,29
354,17.10.2010,13,0,7,7,35
355,18.10.2010,20,7,28,39,19
356,19.10.2010,25,3,34,39,10
357,20.10.2010,12,1,12,13,39
358,21.10.2010,9,1,14,15,40
359,22.10.2010,15,1,28,30,25
360,23.10.2010,19,3,23,28,30
361,24.10.2010,11,0,7,7,55
