,date,NOx,NO_2,NOx
1,29.10.2009,78,84,203
2,30.10.2009,111,110,280
3,31.10.2009,68,68,173
4,01.11.2009,56,53,138
5,02.11.2009,60,62,153
6,03.11.2009,84,81,209
7,04.11.2009,83,73,200
8,05.11.2009,63,65,162
9,06.11.2009,60,61,153
10,07.11.2009,72,66,176
11,08.11.2009,63,60,156
12,09.11.2009,67,59,160
13,10.11.2009,76,53,169
14,11.11.2009,116,74,251
15,12.11.2009,68,67,172
16,13.11.2009,55,55,140
17,14.11.2009,46,51,122
18,15.11.2009,29,46,90
19,16.11.2009,97,77,224
20,17.11.2009,72,71,181
21,18.11.2009,27,38,80
22,19.11.2009,35,51,103
23,20.11.2009,70,71,178
24,21.11.2009,54,61,143
25,22.11.2009,37,50,106
26,23.11.2009,27,40,81
27,24.11.2009,22,41,74
28,25.11.2009,40,55,116
29,26.11.2009,35,51,105
30,27.11.2009,38,53,111
31,28.11.2009,39,46,106
32,29.11.2009,37,54,110
33,30.11.2009,64,66,164
34,01.12.2009,29,50,95
35,02.12.2009,72,68,179
36,03.12.2009,95,79,223
37,04.12.2009,99,79,231
38,05.12.2009,50,57,133
39,06.12.2009,46,52,122
40,07.12.2009,84,78,207
41,08.12.2009,98,82,231
42,09.12.2009,81,59,183
43,10.12.2009,86,78,210
44,11.12.2009,66,64,165
45,12.12.2009,77,65,183
46,13.12.2009,50,57,134
47,14.12.2009,42,55,118
48,15.12.2009,75,80,195
49,16.12.2009,69,78,183
50,17.12.2009,46,59,130
51,18.12.2009,58,56,144
52,19.12.2009,72,69,179
53,20.12.2009,42,52,115
54,21.12.2009,48,71,144
55,22.12.2009,71,84,192
56,23.12.2009,72,80,191
57,24.12.2009,53,53,133
58,25.12.2009,23,33,68
59,26.12.2009,16,28,51
60,27.12.2009,40,52,113
61,28.12.2009,22,45,78
62,29.12.2009,66,72,173
63,30.12.2009,67,71,173
64,31.12.2009,49,55,130
65,01.01.2010,58,63,151
66,02.01.2010,18,38,65
67,03.01.2010,60,60,151
68,04.01.2010,40,49,110
69,05.01.2010,65,70,169
70,06.01.2010,91,89,228
71,07.01.2010,49,73,148
72,08.01.2010,76,75,192
73,09.01.2010,32,32,82
74,10.01.2010,42,38,102
75,11.01.2010,59,68,159
76,12.01.2010,81,80,204
77,13.01.2010,62,62,157
78,14.01.2010,59,67,156
79,15.01.2010,95,80,226
80,16.01.2010,66,65,166
81,17.01.2010,63,64,161
82,18.01.2010,34,51,103
83,19.01.2010,112,83,254
84,20.01.2010,61,64,158
85,21.01.2010,64,72,170
86,22.01.2010,71,75,183
87,23.01.2010,61,68,162
88,24.01.2010,48,55,129
89,25.01.2010,59,78,169
90,26.01.2010,103,106,264
91,27.01.2010,78,95,215
92,28.01.2010,10,34,50
93,29.01.2010,43,61,127
94,30.01.2010,10,29,43
95,31.01.2010,27,44,85
96,01.02.2010,48,66,139
97,02.02.2010,39,51,110
98,03.02.2010,24,45,81
99,04.02.2010,78,88,208
100,05.02.2010,59,84,174
101,06.02.2010,45,60,128
102,07.02.2010,44,51,119
103,08.02.2010,57,71,158
104,09.02.2010,60,77,168
105,10.02.2010,51,73,151
106,11.02.2010,42,61,124
107,12.02.2010,35,57,110
108,13.02.2010,18,38,66
109,14.02.2010,27,46,87
110,15.02.2010,69,89,194
111,16.02.2010,79,86,208
112,17.02.2010,66,92,194
113,18.02.2010,82,106,232
114,19.02.2010,101,109,264
115,20.02.2010,26,51,91
116,21.02.2010,30,50,95
117,22.02.2010,49,68,143
118,23.02.2010,36,58,112
119,24.02.2010,73,78,189
120,25.02.2010,64,75,173
121,26.02.2010,63,83,180
122,27.02.2010,32,49,97
123,28.02.2010,34,52,104
124,01.03.2010,11,25,42
125,02.03.2010,14,34,55
126,03.03.2010,19,47,75
127,04.03.2010,24,51,88
128,05.03.2010,26,49,89
129,06.03.2010,38,51,109
130,07.03.2010,18,37,64
131,08.03.2010,42,62,126
132,09.03.2010,70,98,205
133,10.03.2010,70,89,197
134,11.03.2010,34,55,107
135,12.03.2010,31,50,98
136,13.03.2010,9,25,38
137,14.03.2010,7,23,34
138,15.03.2010,21,46,78
139,16.03.2010,14,38,59
140,17.03.2010,46,69,139
141,18.03.2010,47,79,150
142,19.03.2010,44,75,142
143,20.03.2010,34,55,108
144,21.03.2010,13,30,51
145,22.03.2010,34,59,111
146,23.03.2010,32,58,108
147,24.03.2010,85,102,232
148,25.03.2010,93,113,254
149,26.03.2010,70,97,204
150,27.03.2010,20,38,69
151,28.03.2010,19,38,67
152,29.03.2010,55,81,165
