,date,PM10,NOx,NO_2,NOx,CO,Benzolµg/m³,Toluolµg/m³
1,29.10.2009,24,45,51,120,0.5,2.0,4.9
2,30.10.2009,27,66,65,166,0.7,2.8,5.7
3,31.10.2009,36,55,59,144,0.7,,
4,01.11.2009,52,31,37,85,0.6,,
5,02.11.2009,38,101,73,227,0.9,,
6,03.11.2009,47,73,64,175,0.8,,
7,04.11.2009,39,79,60,182,0.8,,
8,05.11.2009,16,70,64,171,0.7,2.5,6.2
9,06.11.2009,22,66,62,162,0.7,2.6,6.2
10,07.11.2009,32,55,53,137,0.7,3.2,6.8
11,08.11.2009,53,23,33,67,0.6,3.6,4.5
12,09.11.2009,22,54,47,129,0.6,3.1,5.1
13,10.11.2009,18,87,54,187,0.8,3.5,6.9
14,11.11.2009,28,128,69,264,1.0,4.0,9.9
15,12.11.2009,36,86,71,203,0.8,3.6,9.2
16,13.11.2009,27,87,66,199,0.8,3.1,7.9
17,14.11.2009,26,63,58,154,0.7,3.1,8.3
18,15.11.2009,22,30,47,93,0.6,2.3,5.8
19,16.11.2009,32,118,75,256,0.9,3.6,9.3
20,17.11.2009,24,91,72,212,0.8,3.2,9.9
21,18.11.2009,14,34,42,93,0.4,1.6,3.6
22,19.11.2009,17,38,51,109,0.5,1.8,4.4
23,20.11.2009,31,83,74,201,0.8,2.9,7.7
24,21.11.2009,42,80,65,188,0.9,3.7,10.8
25,22.11.2009,40,28,44,86,0.5,2.6,6.9
26,23.11.2009,14,32,47,96,0.4,1.7,3.5
27,24.11.2009,14,27,44,85,0.4,1.6,3.9
28,25.11.2009,18,39,57,117,0.5,1.8,5.4
29,26.11.2009,14,36,52,106,0.5,1.8,4.6
30,27.11.2009,13,33,49,99,0.5,1.8,4.4
31,28.11.2009,13,22,37,71,0.4,1.5,3.6
32,29.11.2009,15,32,45,93,0.5,1.9,4.5
33,30.11.2009,34,87,70,203,0.8,,7.7
34,01.12.2009,14,16,37,62,0.4,1.3,2.8
35,02.12.2009,41,92,72,213,0.8,2.9,7.6
