,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Ortschaft
2009-10-29,2,13,15,17,Frohnau
2009-10-30,3,12,16,16,Frohnau
2009-10-31,2,14,16,17,Frohnau
2009-11-01,3,16,19,19,Frohnau
2009-11-02,8,28,40,10,Frohnau
2009-11-03,1,17,18,19,Frohnau
2009-11-04,10,19,34,10,Frohnau
2009-11-05,3,23,27,18,Frohnau
2009-11-06,4,25,31,13,Frohnau
2009-11-07,6,23,33,10,Frohnau
2009-11-08,2,17,21,10,Frohnau
2009-11-09,2,12,15,13,Frohnau
2009-11-10,9,19,33,2,Frohnau
2009-11-11,31,21,68,1,Frohnau
2009-11-12,9,22,36,7,Frohnau
2009-11-13,9,28,41,6,Frohnau
2009-11-14,4,26,32,9,Frohnau
2009-11-15,1,14,15,29,Frohnau
2009-11-16,17,26,52,4,Frohnau
2009-11-17,5,22,30,7,Frohnau
2009-11-18,0,10,11,42,Frohnau
2009-11-19,0,10,10,43,Frohnau
2009-11-20,9,33,48,8,Frohnau
2009-11-21,7,26,37,12,Frohnau
2009-11-22,4,22,29,18,Frohnau
2009-11-23,1,8,9,56,Frohnau
2009-11-24,1,10,11,52,Frohnau
2009-11-25,0,12,13,52,Frohnau
2009-11-26,0,9,10,56,Frohnau
2009-11-27,1,13,13,48,Frohnau
2009-11-28,1,9,10,49,Frohnau
2009-11-29,1,17,18,41,Frohnau
2009-11-30,11,28,45,9,Frohnau
2009-12-01,1,16,17,21,Frohnau
2009-12-02,11,27,43,11,Frohnau
2009-12-03,9,31,45,3,Frohnau
2009-12-04,6,27,36,4,Frohnau
2009-12-05,5,30,37,14,Frohnau
2009-12-06,3,26,29,9,Frohnau
2009-12-07,11,23,40,19,Frohnau
2009-12-08,4,22,27,5,Frohnau
2009-12-09,9,20,33,2,Frohnau
2009-12-10,6,30,39,6,Frohnau
2009-12-11,2,15,19,14,Frohnau
2009-12-12,2,12,15,13,Frohnau
2009-12-13,0,5,5,39,Frohnau
2009-12-14,3,22,27,16,Frohnau
2009-12-15,1,18,20,8,Frohnau
2009-12-16,5,28,36,11,Frohnau
2009-12-17,2,20,23,24,Frohnau
2009-12-18,0,5,5,42,Frohnau
2009-12-19,4,18,24,30,Frohnau
2009-12-20,5,31,38,23,Frohnau
2009-12-21,2,28,32,35,Frohnau
2009-12-22,4,29,34,35,Frohnau
2009-12-23,10,32,47,9,Frohnau
2009-12-24,0,11,11,30,Frohnau
2009-12-25,2,15,17,22,Frohnau
2009-12-26,0,6,6,53,Frohnau
2009-12-27,1,21,22,26,Frohnau
2009-12-28,0,11,11,37,Frohnau
2009-12-29,1,15,17,35,Frohnau
2009-12-30,0,12,12,33,Frohnau
2009-12-31,0,2,2,62,Frohnau
2010-01-01,0,5,5,56,Frohnau
2010-01-02,0,7,7,53,Frohnau
2010-01-03,0,7,7,36,Frohnau
2010-01-04,1,13,14,28,Frohnau
2010-01-05,14,42,64,10,Frohnau
2010-01-06,6,39,48,14,Frohnau
2010-01-07,4,30,36,25,Frohnau
2010-01-08,4,27,33,29,Frohnau
2010-01-09,0,6,6,53,Frohnau
2010-01-10,0,4,4,48,Frohnau
2010-01-11,1,14,14,36,Frohnau
2010-01-12,2,23,26,21,Frohnau
2010-01-13,0,15,15,34,Frohnau
2010-01-14,1,18,19,34,Frohnau
2010-01-15,1,26,27,22,Frohnau
2010-01-16,0,17,18,34,Frohnau
2010-01-17,1,20,21,34,Frohnau
2010-01-18,4,22,27,24,Frohnau
2010-01-19,13,29,50,9,Frohnau
2010-01-20,3,14,17,33,Frohnau
2010-01-21,1,12,13,53,Frohnau
2010-01-22,1,19,20,46,Frohnau
2010-01-23,1,19,21,55,Frohnau
2010-01-24,1,15,17,68,Frohnau
2010-01-25,1,19,21,65,Frohnau
2010-01-26,3,36,40,42,Frohnau
2010-01-27,17,50,76,34,Frohnau
2010-01-28,0,10,11,72,Frohnau
2010-01-29,1,18,19,53,Frohnau
2010-01-30,0,7,7,64,Frohnau
2010-01-31,1,16,18,51,Frohnau
2010-02-01,1,17,18,50,Frohnau
2010-02-02,1,17,19,49,Frohnau
2010-02-03,1,9,10,60,Frohnau
2010-02-04,10,44,60,16,Frohnau
2010-02-05,1,19,20,58,Frohnau
2010-02-06,1,12,14,69,Frohnau
2010-02-07,0,5,5,65,Frohnau
2010-02-08,1,11,12,60,Frohnau
2010-02-09,1,16,17,63,Frohnau
2010-02-10,1,18,19,67,Frohnau
2010-02-11,0,8,9,77,Frohnau
2010-02-12,0,4,4,73,Frohnau
2010-02-13,0,5,6,62,Frohnau
2010-02-14,1,14,15,48,Frohnau
2010-02-15,6,39,48,25,Frohnau
2010-02-16,4,34,41,32,Frohnau
2010-02-17,2,22,25,62,Frohnau
2010-02-18,10,49,65,29,Frohnau
2010-02-19,15,50,73,9,Frohnau
2010-02-20,1,13,14,58,Frohnau
2010-02-21,1,13,15,57,Frohnau
2010-02-22,4,30,36,42,Frohnau
2010-02-23,1,15,17,51,Frohnau
2010-02-24,1,14,15,49,Frohnau
2010-02-25,6,31,40,28,Frohnau
2010-02-26,6,31,39,35,Frohnau
2010-02-27,0,10,10,68,Frohnau
2010-02-28,1,14,15,66,Frohnau
2010-03-01,0,6,6,71,Frohnau
2010-03-02,0,6,6,72,Frohnau
2010-03-03,1,14,15,60,Frohnau
2010-03-04,3,18,22,51,Frohnau
2010-03-05,1,16,17,64,Frohnau
2010-03-06,0,6,6,68,Frohnau
2010-03-07,0,8,8,63,Frohnau
2010-03-08,0,9,10,66,Frohnau
2010-03-09,2,23,25,50,Frohnau
2010-03-10,1,17,18,57,Frohnau
2010-03-11,1,12,14,50,Frohnau
2010-03-12,2,18,21,40,Frohnau
2010-03-13,0,3,4,70,Frohnau
2010-03-14,0,3,4,79,Frohnau
2010-03-15,1,11,12,67,Frohnau
2010-03-16,1,9,10,67,Frohnau
2010-03-17,3,27,31,38,Frohnau
2010-03-18,4,26,32,50,Frohnau
2010-03-19,2,26,29,51,Frohnau
2010-03-20,1,14,15,51,Frohnau
2010-03-21,0,5,5,59,Frohnau
2010-03-22,1,13,14,63,Frohnau
2010-03-23,2,20,23,49,Frohnau
2010-03-24,3,23,28,49,Frohnau
2010-03-25,3,26,30,53,Frohnau
2010-03-26,4,28,33,49,Frohnau
2010-03-27,0,9,9,66,Frohnau
2010-03-28,0,9,9,54,Frohnau
2010-03-29,1,14,16,48,Frohnau
2010-03-30,4,18,23,38,Frohnau
2010-03-31,0,9,9,62,Frohnau
2010-04-01,0,7,8,70,Frohnau
2010-04-02,1,13,15,60,Frohnau
2010-04-03,1,15,16,64,Frohnau
