,date,PM10,NOx,NO_2,NOx,O_3,CO,SO_2,Benzolµg/m³,Toluolµg/m³
1,29.10.2009,24,41,42,105,,0.5,2,1.8,4.1
2,30.10.2009,31,66,53,153,,0.7,2,2.6,5.4
3,31.10.2009,42,41,42,105,,0.6,5,2.7,5.0
4,01.11.2009,59,31,31,78,,0.6,7,2.9,4.5
5,02.11.2009,43,71,51,160,,0.8,5,4.0,6.4
6,03.11.2009,54,80,52,175,,0.8,4,3.8,5.9
7,04.11.2009,47,81,47,171,,0.9,4,4.4,7.3
8,05.11.2009,21,47,47,118,,0.6,4,2.2,4.7
9,06.11.2009,29,52,47,128,,0.6,5,2.4,4.7
10,07.11.2009,45,53,42,123,,0.7,7,3.3,5.9
11,08.11.2009,58,15,24,47,,0.6,4,3.4,3.7
12,09.11.2009,21,16,19,44,,0.4,2,2.2,2.5
13,10.11.2009,27,54,31,113,,0.7,4,3.3,5.1
14,11.11.2009,37,87,44,177,,0.8,7,3.9,6.4
15,12.11.2009,50,66,50,150,,0.7,4,2.9,6.0
16,13.11.2009,33,62,46,140,,0.7,3,2.8,5.8
17,14.11.2009,29,39,38,98,,0.6,6,2.6,5.5
18,15.11.2009,28,19,36,65,,0.5,3,2.0,4.3
19,16.11.2009,42,92,53,194,,0.8,4,3.4,8.0
20,17.11.2009,35,75,55,169,,0.8,3,3.2,6.8
21,18.11.2009,20,14,27,49,,0.3,2,1.3,2.6
22,19.11.2009,23,19,37,66,,0.4,2,1.4,2.9
23,20.11.2009,40,65,56,155,,0.7,7,2.8,6.0
24,21.11.2009,52,51,47,126,,0.8,5,3.5,8.2
25,22.11.2009,46,19,35,64,,0.5,6,2.3,4.3
26,23.11.2009,17,15,28,52,,0.3,2,1.2,2.8
27,24.11.2009,20,22,38,72,,0.4,1,1.2,2.6
28,25.11.2009,19,16,32,57,,0.4,3,1.4,3.0
29,26.11.2009,19,16,32,56,,0.4,2,1.2,2.7
30,27.11.2009,15,22,34,67,,0.4,3,1.2,2.6
31,28.11.2009,12,11,24,41,,0.4,3,1.2,2.5
32,29.11.2009,17,16,30,54,,0.4,4,1.7,3.3
33,30.11.2009,41,75,50,165,,0.8,5,3.2,5.8
34,01.12.2009,15,15,30,53,,0.4,1,1.1,2.1
35,02.12.2009,32,68,53,158,,0.7,5,2.9,6.3
36,03.12.2009,43,73,48,160,,0.7,,3.2,5.9
37,04.12.2009,57,78,47,166,,0.9,,4.9,6.7
38,05.12.2009,37,36,41,96,,0.6,6,3.3,4.9
39,06.12.2009,28,28,34,76,,0.6,4,2.5,4.4
40,07.12.2009,36,62,54,148,,0.7,3,2.8,6.6
41,08.12.2009,45,80,49,171,,0.8,3,3.4,5.6
42,09.12.2009,51,59,31,122,,0.8,3,4.1,5.8
43,10.12.2009,34,80,53,175,,0.7,5,2.7,5.3
44,11.12.2009,38,25,33,71,,0.5,4,2.4,2.9
45,12.12.2009,34,38,31,90,,0.6,3,2.6,3.7
46,13.12.2009,24,9,31,45,,0.4,1,1.5,2.2
47,14.12.2009,37,70,48,155,,0.6,2,2.1,3.9
48,15.12.2009,27,36,42,97,,0.4,1,1.5,2.7
49,16.12.2009,44,80,57,179,,0.7,5,2.7,5.0
50,17.12.2009,42,45,43,113,,0.5,5,2.0,3.0
51,18.12.2009,29,21,39,71,,0.5,5,2.0,2.6
52,19.12.2009,49,21,37,68,,0.6,9,2.9,3.3
53,20.12.2009,70,30,42,87,,0.8,13,4.2,5.0
54,21.12.2009,35,46,57,127,,0.7,7,3.0,4.6
55,22.12.2009,42,66,62,162,,0.9,8,4.5,7.1
56,23.12.2009,43,102,70,226,,1.0,5,4.3,8.6
57,24.12.2009,40,27,32,74,,0.6,4,2.6,3.5
58,25.12.2009,26,10,22,37,,0.6,3,3.3,2.9
59,26.12.2009,15,5,17,24,,0.3,2,1.1,1.8
60,27.12.2009,24,17,37,63,,0.6,7,2.5,4.0
61,28.12.2009,20,39,48,107,,0.6,3,2.2,4.5
62,29.12.2009,26,41,44,107,,0.5,3,2.1,4.1
63,30.12.2009,50,22,31,64,,0.5,6,3.0,3.0
64,31.12.2009,29,7,17,28,,0.3,3,1.3,1.4
65,01.01.2010,105,5,12,19,,0.3,4,1.4,1.0
66,02.01.2010,16,17,29,54,,0.4,2,1.4,2.0
67,03.01.2010,22,15,29,52,,0.5,3,2.0,2.7
68,04.01.2010,36,34,36,88,,0.6,5,2.6,3.6
69,05.01.2010,39,59,53,144,,0.8,7,3.8,5.8
70,06.01.2010,125,47,55,127,,1.1,12,7.6,6.5
71,07.01.2010,77,63,64,160,,0.9,7,4.4,5.9
72,08.01.2010,51,44,45,112,,0.7,5,3.7,3.9
73,09.01.2010,21,3,10,14,,0.4,2,2.0,1.3
74,10.01.2010,20,3,11,15,,0.4,2,2.2,1.5
75,11.01.2010,25,22,32,66,,0.5,3,2.5,2.9
76,12.01.2010,71,60,48,140,,0.8,4,4.6,4.9
77,13.01.2010,57,43,40,105,,0.7,8,3.8,3.8
78,14.01.2010,66,41,44,107,,0.7,10,3.9,4.0
79,15.01.2010,98,63,51,148,,1.0,10,5.6,6.1
80,16.01.2010,78,29,38,82,,0.8,14,4.6,4.0
81,17.01.2010,66,26,40,81,,0.8,15,4.7,4.4
82,18.01.2010,63,67,53,155,,0.9,9,4.2,4.7
83,19.01.2010,59,91,53,192,,1.0,5,4.8,6.9
