,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ortschaft
2009-10-29,20,34,41,93,Karl-Marx-Straße
2009-10-30,20,56,48,134,Karl-Marx-Straße
2009-10-31,34,67,50,151,Karl-Marx-Straße
2009-11-01,47,39,36,95,Karl-Marx-Straße
2009-11-02,41,127,66,260,Karl-Marx-Straße
2009-11-03,42,64,46,144,Karl-Marx-Straße
2009-11-04,36,91,48,187,Karl-Marx-Straße
2009-11-05,20,99,62,213,Karl-Marx-Straße
2009-11-06,27,108,64,229,Karl-Marx-Straße
2009-11-07,35,68,48,151,Karl-Marx-Straße
2009-11-08,51,24,29,66,Karl-Marx-Straße
2009-11-09,18,48,31,105,Karl-Marx-Straße
2009-11-10,27,113,49,221,Karl-Marx-Straße
2009-11-11,30,138,57,268,Karl-Marx-Straße
2009-11-12,41,127,69,263,Karl-Marx-Straße
2009-11-13,30,119,63,244,Karl-Marx-Straße
2009-11-14,29,97,57,205,Karl-Marx-Straße
2009-11-15,22,63,53,150,Karl-Marx-Straße
2009-11-16,33,135,68,274,Karl-Marx-Straße
2009-11-17,27,131,71,272,Karl-Marx-Straße
2009-11-18,13,52,45,125,Karl-Marx-Straße
2009-11-19,19,74,57,169,Karl-Marx-Straße
2009-11-20,33,113,72,245,Karl-Marx-Straße
2009-11-21,44,101,64,218,Karl-Marx-Straße
2009-11-22,39,51,48,126,Karl-Marx-Straße
2009-11-23,15,54,51,134,Karl-Marx-Straße
2009-11-24,15,69,58,164,Karl-Marx-Straße
2009-11-25,16,57,56,143,Karl-Marx-Straße
2009-11-26,16,65,60,160,Karl-Marx-Straße
2009-11-27,14,62,55,150,Karl-Marx-Straße
2009-11-28,12,47,44,115,Karl-Marx-Straße
2009-11-29,15,46,46,116,Karl-Marx-Straße
2009-11-30,38,125,67,258,Karl-Marx-Straße
2009-12-01,15,35,44,97,Karl-Marx-Straße
2009-12-02,28,109,65,231,Karl-Marx-Straße
2009-12-03,34,101,61,215,Karl-Marx-Straße
2009-12-04,43,84,50,178,Karl-Marx-Straße
2009-12-05,31,80,60,182,Karl-Marx-Straße
2009-12-06,21,64,49,146,Karl-Marx-Straße
2009-12-07,29,132,77,279,Karl-Marx-Straße
2009-12-08,36,60,40,131,Karl-Marx-Straße
2009-12-09,45,112,46,217,Karl-Marx-Straße
2009-12-10,28,93,56,199,Karl-Marx-Straße
2009-12-11,35,34,36,88,Karl-Marx-Straße
2009-12-12,32,48,38,112,Karl-Marx-Straße
2009-12-13,20,20,30,61,Karl-Marx-Straße
2009-12-14,34,94,56,199,Karl-Marx-Straße
2009-12-15,25,47,50,123,Karl-Marx-Straße
2009-12-16,28,86,65,197,Karl-Marx-Straße
2009-12-17,35,61,46,139,Karl-Marx-Straße
2009-12-18,28,21,31,63,Karl-Marx-Straße
2009-12-19,44,40,44,105,Karl-Marx-Straße
2009-12-20,59,56,50,136,Karl-Marx-Straße
2009-12-21,29,100,73,226,Karl-Marx-Straße
2009-12-22,37,123,77,265,Karl-Marx-Straße
2009-12-23,34,163,84,333,Karl-Marx-Straße
2009-12-24,35,30,33,78,Karl-Marx-Straße
2009-12-25,24,29,28,72,Karl-Marx-Straße
2009-12-26,12,28,31,73,Karl-Marx-Straße
2009-12-27,17,52,50,129,Karl-Marx-Straße
2009-12-28,17,81,64,188,Karl-Marx-Straße
2009-12-29,18,48,45,117,Karl-Marx-Straße
2009-12-30,43,20,32,63,Karl-Marx-Straße
2009-12-31,24,10,25,39,Karl-Marx-Straße
2010-01-01,63,9,25,39,Karl-Marx-Straße
2010-01-02,14,49,45,120,Karl-Marx-Straße
2010-01-03,17,24,35,72,Karl-Marx-Straße
2010-01-04,24,85,52,182,Karl-Marx-Straße
2010-01-05,35,94,62,206,Karl-Marx-Straße
2010-01-06,118,76,62,178,Karl-Marx-Straße
2010-01-07,53,101,69,224,Karl-Marx-Straße
2010-01-08,50,58,51,139,Karl-Marx-Straße
2010-01-09,20,7,17,27,Karl-Marx-Straße
2010-01-10,18,7,18,28,Karl-Marx-Straße
2010-01-11,22,38,41,99,Karl-Marx-Straße
2010-01-12,63,44,43,111,Karl-Marx-Straße
2010-01-13,53,31,34,81,Karl-Marx-Straße
2010-01-14,56,23,39,74,Karl-Marx-Straße
2010-01-15,89,44,44,112,Karl-Marx-Straße
2010-01-16,69,29,38,81,Karl-Marx-Straße
2010-01-17,56,33,42,93,Karl-Marx-Straße
2010-01-18,55,111,62,232,Karl-Marx-Straße
2010-01-19,45,81,50,174,Karl-Marx-Straße
2010-01-20,68,26,36,76,Karl-Marx-Straße
2010-01-21,46,20,44,74,Karl-Marx-Straße
2010-01-22,62,26,45,86,Karl-Marx-Straße
2010-01-23,85,16,41,65,Karl-Marx-Straße
2010-01-24,89,14,39,60,Karl-Marx-Straße
2010-01-25,92,21,48,80,Karl-Marx-Straße
2010-01-26,131,49,71,145,Karl-Marx-Straße
2010-01-27,112,107,88,252,Karl-Marx-Straße
2010-01-28,21,62,63,158,Karl-Marx-Straße
2010-01-29,20,79,67,187,Karl-Marx-Straße
2010-01-30,11,44,44,112,Karl-Marx-Straße
2010-01-31,,40,48,109,Karl-Marx-Straße
2010-02-01,,86,71,202,Karl-Marx-Straße
