,date,NOx,NO_2,NOx,SO_2
1,29.10.2009,3,18,22,1
2,30.10.2009,11,23,39,1
3,31.10.2009,6,20,29,3
4,01.11.2009,3,15,19,5
5,02.11.2009,3,24,28,3
6,03.11.2009,2,19,23,2
7,04.11.2009,15,23,46,3
8,05.11.2009,5,26,33,4
9,06.11.2009,5,28,37,3
10,07.11.2009,7,19,30,2
11,08.11.2009,3,17,21,2
12,09.11.2009,5,18,26,1
13,10.11.2009,17,22,49,5
14,11.11.2009,34,29,80,6
15,12.11.2009,31,38,85,3
16,13.11.2009,11,31,48,2
17,14.11.2009,7,19,29,1
18,15.11.2009,4,21,27,2
19,16.11.2009,33,32,83,2
20,17.11.2009,26,41,80,3
21,18.11.2009,5,20,28,4
22,19.11.2009,3,27,31,4
23,20.11.2009,22,39,73,6
24,21.11.2009,17,34,61,4
25,22.11.2009,4,27,34,5
26,23.11.2009,2,20,22,7
27,24.11.2009,1,22,24,1
28,25.11.2009,2,25,28,8
29,26.11.2009,2,23,26,7
30,27.11.2009,2,20,24,3
31,28.11.2009,2,16,18,8
32,29.11.2009,2,15,18,4
33,30.11.2009,21,31,63,2
34,01.12.2009,5,26,35,0
35,02.12.2009,17,36,62,3
36,03.12.2009,5,24,31,2
37,04.12.2009,8,26,38,5
38,05.12.2009,4,24,31,2
39,06.12.2009,2,20,24,1
40,07.12.2009,30,39,84,3
41,08.12.2009,7,23,34,1
42,09.12.2009,27,28,70,3
43,10.12.2009,5,28,36,1
44,11.12.2009,7,24,35,3
45,12.12.2009,10,24,40,3
46,13.12.2009,1,15,17,1
47,14.12.2009,16,41,66,3
48,15.12.2009,12,35,53,2
49,16.12.2009,5,28,35,1
50,17.12.2009,5,29,37,3
51,18.12.2009,2,14,18,6
52,19.12.2009,9,32,45,9
53,20.12.2009,6,32,41,10
54,21.12.2009,6,39,48,5
55,22.12.2009,9,37,51,6
56,23.12.2009,32,49,99,4
57,24.12.2009,1,12,14,2
58,25.12.2009,2,18,22,2
59,26.12.2009,1,13,15,2
60,27.12.2009,2,25,27,8
61,28.12.2009,3,30,34,5
62,29.12.2009,2,22,24,3
63,30.12.2009,2,18,21,7
64,31.12.2009,1,10,11,3
65,01.01.2010,1,12,13,2
66,02.01.2010,2,26,29,1
67,03.01.2010,2,21,24,6
68,04.01.2010,5,25,33,6
69,05.01.2010,10,40,55,6
70,06.01.2010,22,52,86,13
71,07.01.2010,23,59,93,11
72,08.01.2010,17,37,64,
73,09.01.2010,1,6,8,
74,10.01.2010,1,6,8,
75,11.01.2010,2,18,21,1
76,12.01.2010,5,28,35,3
77,13.01.2010,2,17,20,8
78,14.01.2010,3,24,29,11
79,15.01.2010,3,27,32,10
80,16.01.2010,1,19,21,16
81,17.01.2010,2,24,27,16
82,18.01.2010,14,40,61,7
83,19.01.2010,8,29,42,2
84,20.01.2010,3,22,27,11
85,21.01.2010,1,21,22,16
86,22.01.2010,2,25,28,16
87,23.01.2010,2,27,30,23
88,24.01.2010,3,22,26,29
89,25.01.2010,2,31,35,30
90,26.01.2010,26,61,101,32
91,27.01.2010,56,73,158,19
92,28.01.2010,3,32,37,2
93,29.01.2010,3,25,30,3
94,30.01.2010,2,19,22,5
95,31.01.2010,2,25,28,5
96,01.02.2010,6,36,46,6
97,02.02.2010,3,23,27,4
98,03.02.2010,3,24,29,5
99,04.02.2010,4,36,43,3
100,05.02.2010,2,21,24,9
