,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Kohlenmonoxidmg/m³,Ortschaft
2017-05-12,,26,40,79,28,0.2,Messwagen Leipziger Str.
2017-06-12,23,28,36,78,35,0.2,Messwagen Leipziger Str.
2017-07-12,19,36,40,94,36,0.2,Messwagen Leipziger Str.
2017-08-12,15,36,41,95,32,0.2,Messwagen Leipziger Str.
2017-09-12,15,24,35,72,33,0.3,Messwagen Leipziger Str.
2017-10-12,18,29,37,82,34,0.3,Messwagen Leipziger Str.
2017-11-12,21,73,59,171,15,0.4,Messwagen Leipziger Str.
2017-12-12,13,32,38,88,26,0.3,Messwagen Leipziger Str.
2017-12-13,23,73,56,167,19,0.4,Messwagen Leipziger Str.
2017-12-14,10,41,46,109,31,0.3,Messwagen Leipziger Str.
2017-12-15,20,81,62,187,10,0.4,Messwagen Leipziger Str.
2017-12-16,27,34,45,97,16,0.4,Messwagen Leipziger Str.
2017-12-17,13,10,25,40,30,0.2,Messwagen Leipziger Str.
2017-12-18,26,113,64,237,6,0.5,Messwagen Leipziger Str.
2017-12-19,26,47,50,122,4,0.3,Messwagen Leipziger Str.
2017-12-20,25,95,61,207,5,0.4,Messwagen Leipziger Str.
2017-12-21,15,25,36,75,15,0.3,Messwagen Leipziger Str.
2017-12-22,17,14,36,57,33,0.2,Messwagen Leipziger Str.
2017-12-23,19,12,23,41,35,0.2,Messwagen Leipziger Str.
2017-12-24,18,6,14,24,48,0.2,Messwagen Leipziger Str.
2017-12-25,10,13,19,40,45,0.2,Messwagen Leipziger Str.
2017-12-26,14,21,31,62,29,0.3,Messwagen Leipziger Str.
2017-12-27,20,73,60,171,12,0.4,Messwagen Leipziger Str.
2017-12-28,20,32,42,91,18,0.3,Messwagen Leipziger Str.
2017-12-29,20,49,46,122,22,0.4,Messwagen Leipziger Str.
2017-12-30,17,46,49,119,22,0.4,Messwagen Leipziger Str.
2017-12-31,15,26,37,76,39,0.3,Messwagen Leipziger Str.
2018-01-01,15,23,33,68,45,0.2,Messwagen Leipziger Str.
2018-02-01,14,34,46,98,22,0.3,Messwagen Leipziger Str.
2018-03-01,9,40,41,102,33,0.3,Messwagen Leipziger Str.
2018-04-01,11,37,41,98,35,0.3,Messwagen Leipziger Str.
2018-05-01,11,35,47,100,32,0.3,Messwagen Leipziger Str.
2018-06-01,16,27,49,90,21,0.3,Messwagen Leipziger Str.
2018-07-01,9,23,39,73,19,0.3,Messwagen Leipziger Str.
2018-08-01,22,73,66,177,16,0.4,Messwagen Leipziger Str.
2018-09-01,32,58,52,142,20,0.5,Messwagen Leipziger Str.
2018-10-01,49,124,57,247,3,0.7,Messwagen Leipziger Str.
2018-11-01,47,106,42,204,1,0.8,Messwagen Leipziger Str.
2018-12-01,44,81,41,165,2,0.5,Messwagen Leipziger Str.
2018-01-13,33,33,34,84,22,0.3,Messwagen Leipziger Str.
2018-01-14,29,31,33,80,22,0.3,Messwagen Leipziger Str.
2018-01-15,33,77,49,166,12,0.4,Messwagen Leipziger Str.
2018-01-16,14,73,54,166,21,0.4,Messwagen Leipziger Str.
2018-01-17,14,45,51,121,26,0.3,Messwagen Leipziger Str.
2018-01-18,10,53,45,125,33,0.3,Messwagen Leipziger Str.
2018-01-19,17,44,50,117,28,0.3,Messwagen Leipziger Str.
2018-01-20,23,61,57,150,14,0.5,Messwagen Leipziger Str.
2018-01-21,28,27,39,80,13,0.4,Messwagen Leipziger Str.
2018-01-22,32,71,53,161,20,0.4,Messwagen Leipziger Str.
2018-01-23,37,97,58,206,9,0.5,Messwagen Leipziger Str.
2018-01-24,14,57,47,135,21,0.4,Messwagen Leipziger Str.
2018-01-25,13,65,65,164,19,0.4,Messwagen Leipziger Str.
2018-01-26,27,67,56,159,11,0.5,Messwagen Leipziger Str.
2018-01-27,29,35,40,93,20,0.4,Messwagen Leipziger Str.
2018-01-28,15,13,22,42,42,0.3,Messwagen Leipziger Str.
2018-01-29,11,20,27,58,44,0.2,Messwagen Leipziger Str.
2018-01-30,13,24,39,75,43,0.3,Messwagen Leipziger Str.
2018-01-31,15,73,55,168,18,0.4,Messwagen Leipziger Str.
2018-01-02,13,53,52,133,37,0.4,Messwagen Leipziger Str.
2018-02-02,18,66,52,152,22,0.4,Messwagen Leipziger Str.
2018-03-02,16,15,28,51,24,0.3,Messwagen Leipziger Str.
2018-04-02,18,15,29,53,24,0.3,Messwagen Leipziger Str.
2018-05-02,24,53,65,145,18,0.3,Messwagen Leipziger Str.
2018-06-02,32,94,84,227,20,0.5,Messwagen Leipziger Str.
2018-07-02,56,68,65,169,14,0.5,Messwagen Leipziger Str.
2018-08-02,64,74,77,191,12,0.6,Messwagen Leipziger Str.
2018-09-02,75,120,90,273,7,0.7,Messwagen Leipziger Str.
2018-10-02,67,68,60,164,7,0.6,Messwagen Leipziger Str.
2018-11-02,30,34,43,95,22,0.4,Messwagen Leipziger Str.
2018-12-02,19,44,50,117,28,0.3,Messwagen Leipziger Str.
2018-02-13,45,108,80,244,15,0.5,Messwagen Leipziger Str.
2018-02-14,49,100,82,235,11,0.5,Messwagen Leipziger Str.
2018-02-15,46,76,63,179,22,0.5,Messwagen Leipziger Str.
2018-02-16,33,49,53,129,24,0.4,Messwagen Leipziger Str.
2018-02-17,30,27,50,91,21,0.3,Messwagen Leipziger Str.
2018-02-18,21,40,55,116,35,0.3,Messwagen Leipziger Str.
2018-02-19,39,91,72,212,19,0.5,Messwagen Leipziger Str.
2018-02-20,50,70,72,179,16,0.5,Messwagen Leipziger Str.
2018-02-21,35,49,63,139,21,0.4,Messwagen Leipziger Str.
2018-02-22,27,56,64,150,22,0.4,Messwagen Leipziger Str.
2018-02-23,33,59,63,153,26,0.3,Messwagen Leipziger Str.
2018-02-24,18,23,50,85,35,0.3,Messwagen Leipziger Str.
2018-02-25,16,30,51,96,36,0.3,Messwagen Leipziger Str.
2018-02-26,25,40,57,119,31,0.3,Messwagen Leipziger Str.
2018-02-27,31,67,66,168,34,0.3,Messwagen Leipziger Str.
2018-02-28,41,58,60,149,33,0.4,Messwagen Leipziger Str.
2018-01-03,37,61,59,152,30,0.4,Messwagen Leipziger Str.
2018-02-03,56,65,66,165,25,0.5,Messwagen Leipziger Str.
2018-03-03,52,43,55,121,33,0.5,Messwagen Leipziger Str.
2018-04-03,63,28,49,93,51,0.4,Messwagen Leipziger Str.
2018-05-03,69,88,90,224,21,0.7,Messwagen Leipziger Str.
2018-06-03,68,83,85,211,19,0.7,Messwagen Leipziger Str.
2018-07-03,45,54,60,143,21,0.7,Messwagen Leipziger Str.
2018-08-03,37,75,66,181,21,0.5,Messwagen Leipziger Str.
2018-09-03,26,48,56,129,35,0.4,Messwagen Leipziger Str.
2018-10-03,35,74,69,182,6,0.6,Messwagen Leipziger Str.
2018-11-03,28,44,61,128,20,0.5,Messwagen Leipziger Str.
2018-12-03,35,66,64,166,18,0.4,Messwagen Leipziger Str.
2018-03-13,14,32,36,85,33,0.3,Messwagen Leipziger Str.
2018-03-14,18,22,38,71,30,0.3,Messwagen Leipziger Str.
2018-03-15,31,65,59,158,25,0.4,Messwagen Leipziger Str.
