Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-11-2016,CENTRAL/WESTERN,N.A.,21,46,55,34,33,5
02-11-2016,CENTRAL/WESTERN,N.A.,18,40,47,41,26,4
03-11-2016,CENTRAL/WESTERN,N.A.,19,41,48,44,27,4
04-11-2016,CENTRAL/WESTERN,N.A.,25,58,75,54,38,8
05-11-2016,CENTRAL/WESTERN,N.A.,27,51,56,75,42,7
06-11-2016,CENTRAL/WESTERN,N.A.,30,32,33,98,41,6
07-11-2016,CENTRAL/WESTERN,N.A.,26,40,45,71,38,3
08-11-2016,CENTRAL/WESTERN,N.A.,25,53,61,47,40,5
09-11-2016,CENTRAL/WESTERN,N.A.,20,42,49,30,30,3
10-11-2016,CENTRAL/WESTERN,N.A.,9,45,68,13,14,2
11-11-2016,CENTRAL/WESTERN,N.A.,21,57,104,21,31,6
12-11-2016,CENTRAL/WESTERN,N.A.,29,46,50,74,43,6
13-11-2016,CENTRAL/WESTERN,N.A.,26,46,49,70,37,5
14-11-2016,CENTRAL/WESTERN,N.A.,26,73,98,37,37,11
15-11-2016,CENTRAL/WESTERN,N.A.,45,84,165,54,61,16
16-11-2016,CENTRAL/WESTERN,N.A.,30,41,44,75,45,1
17-11-2016,CENTRAL/WESTERN,N.A.,37,39,41,91,53,3
18-11-2016,CENTRAL/WESTERN,N.A.,40,46,49,75,56,6
19-11-2016,CENTRAL/WESTERN,N.A.,30,42,45,67,43,7
20-11-2016,CENTRAL/WESTERN,N.A.,20,30,32,66,32,7
21-11-2016,CENTRAL/WESTERN,N.A.,10,34,39,38,21,7
22-11-2016,CENTRAL/WESTERN,N.A.,10,35,41,29,12,6
23-11-2016,CENTRAL/WESTERN,N.A.,5,37,49,25,7,5
24-11-2016,CENTRAL/WESTERN,N.A.,9,37,51,22,13,6
25-11-2016,CENTRAL/WESTERN,N.A.,14,37,44,35,21,7
26-11-2016,CENTRAL/WESTERN,N.A.,13,40,72,14,19,8
27-11-2016,CENTRAL/WESTERN,N.A.,10,41,53,26,14,7
28-11-2016,CENTRAL/WESTERN,N.A.,16,47,56,47,24,8
29-11-2016,CENTRAL/WESTERN,N.A.,25,57,70,41,47,6
30-11-2016,CENTRAL/WESTERN,N.A.,31,53,61,52,55,8
