,date,CO,NO_2,NOx,O_3,PM10,PM25,SO_2,city,year,population,month,quarter
0,2008-01-01,,51,63,47,70,,28,hong kong,2008,6964000,2008-01,2008Q1
1,2008-01-01,0.6525543467884046,67.08456514352142,136.80413028946688,9.280976908245053,39.85541947215996,25.65086954313776,19.815356529899265,madrid,2008,6327594,2008-01,2008Q1
2,2008-01-02,,67,85,45,64,,35,hong kong,2008,6964000,2008-01,2008Q1
3,2008-01-02,0.5318055549869314,66.55237189317361,126.82530441650978,9.75081911184682,21.005400666823753,15.767894761813315,14.897970306597921,madrid,2008,6327594,2008-01,2008Q1
4,2008-01-03,,101,144,37,87,,45,hong kong,2008,6964000,2008-01,2008Q1
5,2008-01-03,0.36000000046786024,50.4109295407931,75.03927884040735,30.313847490571813,9.173422818015887,5.617395819785695,10.923918684517465,madrid,2008,6327594,2008-01,2008Q1
6,2008-01-04,0.45899305479704505,58.247291684914856,102.34634608106735,20.75643225476836,21.39093904911588,13.235999982886844,12.875144198154791,madrid,2008,6327594,2008-01,2008Q1
7,2008-01-04,,69,95,44,59,,22,hong kong,2008,6964000,2008-01,2008Q1
8,2008-01-05,,99,126,40,76,,37,hong kong,2008,6964000,2008-01,2008Q1
9,2008-01-05,0.3896354160970077,47.28229162631891,74.31358976547534,20.405406794305573,18.745682175622516,12.485729123155275,11.804503197853382,madrid,2008,6327594,2008-01,2008Q1
10,2008-01-06,,68,80,49,53,,20,hong kong,2008,6964000,2008-01,2008Q1
11,2008-01-06,0.32458333338015816,34.66028051014387,54.32123771516403,21.03300509752361,12.180785245047165,9.412500018253922,9.947800950866258,madrid,2008,6327594,2008-01,2008Q1
12,2008-01-07,,129,296,15,82,,58,hong kong,2008,6964000,2008-01,2008Q1
13,2008-01-07,0.38270833376898533,41.588407249482,76.73123144986008,20.113904957860353,14.009903860302307,9.231614572306475,11.54050903680485,madrid,2008,6327594,2008-01,2008Q1
14,2008-01-08,,75,87,48,67,,30,hong kong,2008,6964000,2008-01,2008Q1
15,2008-01-08,0.600890051541008,55.61803536253851,153.88283350540627,7.758600692700201,35.82696774563482,20.028750028461218,15.580853456076408,madrid,2008,6327594,2008-01,2008Q1
16,2008-01-09,,69,80,49,64,,27,hong kong,2008,6964000,2008-01,2008Q1
17,2008-01-09,0.5726736101787537,60.287996768951416,159.52729133764902,6.642193893591563,43.84479931499181,28.340833326180775,14.867122192474806,madrid,2008,6327594,2008-01,2008Q1
18,2008-01-10,,69,84,45,91,,22,hong kong,2008,6964000,2008-01,2008Q1
19,2008-01-10,0.5136690626738312,61.63055465441792,135.15164711254985,8.924310630528714,28.186792465671257,17.787011452789965,13.386689084317505,madrid,2008,6327594,2008-01,2008Q1
20,2008-01-11,,64,125,13,71,,21,hong kong,2008,6964000,2008-01,2008Q1
21,2008-01-11,0.40178761006192826,52.15016022248146,87.86339753254866,24.013921926300878,13.900209019805073,7.8780729190136,11.107351526594085,madrid,2008,6327594,2008-01,2008Q1
22,2008-01-12,,65,171,7,42,,38,hong kong,2008,6964000,2008-01,2008Q1
23,2008-01-12,0.3981095401260857,48.42495197669054,77.52331728660144,35.3986949528678,15.670834670288796,8.23471203337165,11.996181224927932,madrid,2008,6327594,2008-01,2008Q1
24,2008-01-13,,53,85,19,62,,27,hong kong,2008,6964000,2008-01,2008Q1
25,2008-01-13,0.5741071422850447,63.79235199093819,125.52009873798019,13.826707306639243,25.078424520753508,14.614895862837633,14.880154084669401,madrid,2008,6327594,2008-01,2008Q1
26,2008-01-14,0.4372759853493035,53.38185124673134,91.14466109315227,19.730070057767076,20.130230646353382,11.641308942390362,11.714730640051743,madrid,2008,6327594,2008-01,2008Q1
27,2008-01-14,,59,92,14,50,,23,hong kong,2008,6964000,2008-01,2008Q1
28,2008-01-15,,63,106,13,65,,27,hong kong,2008,6964000,2008-01,2008Q1
29,2008-01-15,0.4018749995803874,48.8681702177559,83.08712692321973,22.457500019851995,19.197733120136323,10.029739590982595,10.91612540257322,madrid,2008,6327594,2008-01,2008Q1
30,2008-01-16,0.34442708271348643,35.605136838512145,56.16302737214523,40.85257292039194,18.153258044873514,8.811666663115224,10.877880285472932,madrid,2008,6327594,2008-01,2008Q1
31,2008-01-16,,64,110,13,53,,27,hong kong,2008,6964000,2008-01,2008Q1
32,2008-01-17,0.4197743051788873,51.12996794015933,89.2979647723528,29.0270477403146,31.855145158306247,14.986822954689464,12.799051454979507,madrid,2008,6327594,2008-01,2008Q1
33,2008-01-17,,59,130,8,72,,33,hong kong,2008,6964000,2008-01,2008Q1
34,2008-01-18,0.6943749985981008,74.36581733746407,189.81863795946805,13.1761120531474,44.76275634383544,26.053749904036522,17.476041665061928,madrid,2008,6327594,2008-01,2008Q1
35,2008-01-18,,51,67,24,43,,22,hong kong,2008,6964000,2008-01,2008Q1
36,2008-01-19,,53,66,30,35,,,hong kong,2008,6964000,2008-01,2008Q1
37,2008-01-19,0.7312847206129744,69.76786852494264,176.79062450237763,11.359644075975579,34.208493649577484,19.73387430101165,20.75620193894093,madrid,2008,6327594,2008-01,2008Q1
38,2008-01-20,0.748020834829529,72.0896314183871,174.55668256068842,13.117864373982963,34.311698708205654,21.241308789602748,20.41330130589314,madrid,2008,6327594,2008-01,2008Q1
39,2008-01-20,,63,151,32,42,,,hong kong,2008,6964000,2008-01,2008Q1
40,2008-01-21,,115,222,16,152,,,hong kong,2008,6964000,2008-01,2008Q1
41,2008-01-21,0.910940766010031,92.51619583607486,248.06894096172448,8.830527205451006,57.85154837312237,31.817187503601115,23.993788135568366,madrid,2008,6327594,2008-01,2008Q1
42,2008-01-22,1.0534895846309762,107.04817315248343,304.80806065828375,7.748078228665047,62.59804528210198,34.20656247250736,27.65253203495955,madrid,2008,6327594,2008-01,2008Q1
43,2008-01-22,,122,221,18,131,,,hong kong,2008,6964000,2008-01,2008Q1
44,2008-01-23,0.8120486101575403,88.81927893406305,232.16221158321088,9.835874353483295,62.70979091515495,27.958593691388767,22.294951905042698,madrid,2008,6327594,2008-01,2008Q1
45,2008-01-23,,107,183,11,112,,50,hong kong,2008,6964000,2008-01,2008Q1
46,2008-01-24,0.6857913025371406,81.88112365147084,187.79836305339686,9.900000003324886,58.3360031634617,26.151770790417988,19.92152490393882,madrid,2008,6327594,2008-01,2008Q1
